draw_idx,hiv.beta_m2f,hiv.rel_init_prev,hiv.dur_on_art,hiv.rel_death,hiv.rel_death_on_art,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw
0,0.02139880854013675,1.3433162125159153,17.260358918467347,0.5475322893196157,1.7526113035023725,0.7125446222932155,2.624466403464795,7.825363698871374
1,0.009613995367172841,0.4998893654446848,9.48666093784978,1.266396705770673,1.668481787436515,0.8472968711430267,4.524312089376924,9.9381239061461
2,0.0268322258234976,0.7592333551136712,22.405853402897947,1.0181235342487267,0.21191428195446937,0.5561608406374997,3.835722864072303,7.708540348488115
3,0.03390985524832775,1.441922989531539,21.47441360305175,2.093842994607398,1.7299578901061194,0.8711222729451817,4.786662764829304,2.7346102453767216
4,0.017803191057933435,0.8111549777411107,20.06221855038574,1.6215841457166302,0.5418136001620156,0.8927519029697373,6.2605505504174745,9.747342209448536
5,0.008412968468334918,1.2121801642179908,22.15813168374951,0.6723121503008916,0.4340078454837931,0.7109050080497784,7.763028672400946,5.191937650202852
6,0.012204992952695731,0.9043581420515086,15.031495714003025,1.1225477253835212,0.9977523369353926,0.8238799773235037,3.6420815575227445,7.371455645591401
7,0.019174489486766665,0.5493082800737472,24.479716006869253,2.0143503193484076,0.6934449827778526,0.8797050802247521,3.3083853791231177,12.708858310924422
8,0.010826223038596879,1.0892613586633373,14.186877699176954,0.8799526135246697,1.8704683252396932,0.6996402606947434,7.964402374001808,6.920193067966791
9,0.03913666161326648,0.8956388253628298,8.538457551488047,1.6794010329814766,0.5086650766086134,0.5794770026887315,5.916415346922251,4.180646134483373
10,0.015014698072229812,0.42544756631881064,23.585758077885313,0.9676261515434204,1.32261149485387,0.7550605239706094,5.177976341386819,2.8028975089172437
11,0.034927174738407625,0.6252561253806506,21.773874101933345,1.0931273161677981,1.308081325932984,0.8605679636822896,5.599993496902423,13.59671285576141
12,0.013194540772848373,1.4095126529751378,12.949337900415447,0.7431785575291945,1.2080654751979265,0.8566463862468774,2.7294070156544814,6.00702206589879
13,0.016817985432823895,0.7290937215784524,24.847017605721092,2.120974873600826,0.7467795445001991,0.7936999431440445,2.942171329941729,9.358384441432964
14,0.03960043873072967,0.8726768496288875,12.318120826948476,1.2508798052231271,0.7267364688404756,0.8215863674723571,6.112717279056558,4.730871607222525
15,0.026646548450125204,1.1041480875848129,23.0989033838086,1.5196647721321497,1.2694469183039094,0.5994316370939079,3.174042404747164,10.787461898966258
16,0.03620180145481129,0.5803882262715249,20.654617697070147,1.8956734819992587,0.22080171782632285,0.5877407179338393,7.421792428556003,3.5227315515459146
17,0.017284757795478712,1.2384470861843222,13.138856338495966,1.6074621140566432,1.1721187123244838,0.7481764576815835,4.232748286358561,10.126673752886278
18,0.02917016250532518,0.36360018491658547,11.613672166778796,1.8236375186960176,0.6149430939664757,0.772434760217209,3.3666290614907943,14.237069678678125
19,0.014372706169827578,0.7849588063730459,11.105385712328477,2.3046905938400117,1.8069002712666276,0.7276463437779457,4.305105815396275,4.958826718370565
20,0.027570371631444095,1.1718763028651915,22.81963971946974,0.623482160819439,1.5291657822611382,0.6288169794113514,2.205343754413593,14.111411780279337
21,0.03035607011292335,1.3115323938642358,18.127283025180944,2.220217072882445,1.0825734054306182,0.7194762794097156,7.107528410660615,13.310078006329249
22,0.025555324388408227,0.6980249970539756,9.021522235070396,2.1660002936431644,0.36243347536961923,0.7607842910512705,7.362085108006073,8.500534096885096
23,0.018373547891935127,1.0611302951742103,10.166084025232974,2.4625916999441975,1.0496925133448252,0.6370307956208374,5.0236866405530485,3.277044003223544
24,0.015844903383650095,1.03172665529426,18.229243214057313,2.381232058156365,1.160602304604646,0.6618608886477957,5.424321240735936,3.9501624238970674
25,0.03286100420998681,1.0018067133670943,9.95901092340847,1.4288617177518703,0.32042312270411977,0.6768265771866437,6.5450624473650105,10.411796674403687
