draw_idx,hiv.beta_m2f,hiv.rel_init_prev,hiv.dur_on_art,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw
0,0.02839880854013675,0.815316212515915,9.397815961631693,0.8873181506309328,3.018772537375913,14.017371685176574
1,0.024742720686877974,1.3177258798958191,6.414627512496649,0.5943010649213665,4.32470386041757,6.201578587509375
2,0.0072930855580410625,1.463303558204663,6.6457494525025655,0.6237187205500874,2.14266728402816,9.835028013731437
3,0.012959109947142833,1.282874120549236,3.5912180292819764,0.8361608406374998,5.995722864072304,5.628540348488114
4,0.017809855248327747,1.369922989531539,5.940900519083176,0.6889225240562947,5.107235442440377,2.4873987093924663
5,0.03805553279483761,0.6558101764963127,2.366443670384785,0.7760868685078239,7.097253606018496,14.750296947158096
6,0.025738671581931872,0.9951493816105279,5.280734067223299,0.8145822902543838,3.305080308857414,8.761951779028234
7,0.009649094643013698,1.3393872901805348,9.006348823089656,0.7599050080497785,7.403028672400946,13.771937650202853
8,0.03740499295269573,0.9523581420515086,8.188939159530836,0.7149458519421162,4.115007379795976,12.692684872015853
9,0.024378809085549347,0.8918266749776678,6.199883311260952,0.7837149150215096,7.216370355365618,9.243277075764649
10,0.03553188126169729,1.2144174179134357,7.904513838830824,0.8243154160633499,2.758781092330893,5.8703313855194885
11,0.0065376893806584355,1.1999715681148018,4.014603474693445,0.5806402606947435,3.644402374001808,3.280193067966791
12,0.02373666161326649,0.3436388253628298,4.333391788935552,0.8543951807717585,5.690521294553516,13.494860099867166
13,0.006145756190379794,0.47729041241384984,7.0090738450811,0.6495888735096531,4.9808557921948164,13.359569985032232
14,0.016321790694676555,0.3790646536135177,7.357301788515759,0.6066164713939258,4.61037281229845,12.283608024957047
15,0.01025797609221571,0.5838763897006789,7.246658214454669,0.7625679636822895,7.039993496902422,6.8367128557614105
16,0.005494540772848372,1.4095126529751378,8.0091001884308,0.8795562475676091,2.619154132203978,14.689722917741157
17,0.03375487425798448,0.549878959929119,5.82125381321689,0.563152335460382,5.906006213783915,10.196336678405366
18,0.02181436003026683,0.43954266220815214,2.296228439922306,0.6641103503462722,4.4515037824108,13.143999204312948
19,0.039090248761364514,1.2545278831338762,8.31889039511779,0.6325863674723572,3.832717279056558,7.330871607222525
20,0.0140465484501252,0.5281480875848128,7.665366298262871,0.7984413351231262,6.652990268328135,5.136032234916578
21,0.02794858069435846,1.015150329135347,8.491840332528295,0.8067798993291948,3.3463356577894636,14.451877632995181
22,0.012125294802063842,1.1013967472017345,5.069056571408003,0.821996618695467,7.345958479224922,5.926510100330159
23,0.026779998343962285,0.7484772684339858,2.0341840518925633,0.5661764576815835,4.8327482863585605,4.666673752886278
24,0.020770162505325176,0.5076001849165854,9.300551607895905,0.7676365657718032,2.3061360862099236,4.541862522353478
25,0.021372002858696303,0.8535756626472115,6.062332838817732,0.7404463185254717,5.736018486704169,12.430488859960077
26,0.018942899733858924,0.6210731786672421,4.593474420528366,0.671660719340746,7.7892065653904154,7.545326614372908
27,0.01451102295184947,1.0460892964916633,9.937540135836372,0.6918169794113513,5.565343754413592,8.391411780279336
28,0.03665607011292335,1.2875323938642358,3.725780247143974,0.6760379877544279,2.462863385570373,7.774833235218009
29,0.008193915728853588,1.3920072005842383,7.498359860207595,0.841090624140743,3.9205372594366104,2.9490019086805663
30,0.017534300862071934,0.39868899789007045,2.589446810674764,0.6410143795315218,6.8126082100460215,9.725578197720612
31,0.010859584757832594,0.6855550199665186,8.878705319346633,0.8960307956208373,7.663686640553048,3.7970440032235437
32,0.030544903383650093,0.93572665529426,8.573761512497558,0.6342156101773638,6.42927043559362,11.094833006918124
33,0.022875207237626295,0.7680149929751139,3.408229533711271,0.6566936247320692,7.611415620026518,3.3576011653871576
34,0.039860425944549575,1.4308339789256355,2.780083263153348,0.8744714489262532,3.143282267196873,11.315474233006093
35,0.019552208743688272,0.8371136674450086,4.139118565682625,0.7901066079315822,5.384437888398761,11.908448881703396
36,0.01970974849473522,0.6621446111771322,4.889218366167437,0.7349454456472271,4.226981041625605,3.8256267712358945
37,0.030052087518367063,0.46408198441296045,2.8567122357733843,0.8650162543611539,3.72094288227515,2.036048217741241
38,0.026263806093398033,1.128082615108296,5.511181860082187,0.5540889049847301,6.745092230188385,7.195993879293001
39,0.03453975041465566,0.31368973221746527,6.837079956854658,0.7273542968213509,2.5288021392092803,11.802985712356307
40,0.01130687411815343,1.088833108065119,6.540243911817381,0.849227241479064,2.9046197885053755,10.744703840414164
41,0.03248615530570411,0.9167999386438905,9.688730580744586,0.5904218042315185,4.75754358233643,8.222765565237792
42,0.015636553031598974,0.7288209115115516,3.2743068982629047,0.8613505416647809,6.501969620571172,6.457127074001754
43,0.029163802231948057,1.14923071653571,4.473567309848515,0.6171292176305782,7.971514148358497,2.6837971220887296
44,0.03325476817598663,0.597675746397498,3.89368255818325,0.7031624717139929,3.4422724718189555,10.36297819655076
45,0.03211402936679041,1.4881614369104936,5.679729484255434,0.7237524325161371,6.185416154934586,11.60543872434839
46,0.00915095129135579,1.1765277094870399,3.084560148543196,0.7529061931651291,6.227068784118013,4.221446694156965
47,0.015185076757194875,0.7955294048836835,9.548965123329006,0.576844683596193,5.302253221337492,9.29442935778396
48,0.03091017167062045,0.3685057907061131,4.879624909541507,0.5998211208432243,5.12456512537317,8.604085363141982
49,0.03603184761256291,1.0285168986514426,9.108630252243069,0.7052849284823709,2.0797550558013946,4.868582636270709
