draw_idx,hiv.beta_m2f,hiv.rel_init_prev,hiv.dur_on_art,migration.rel_migration,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw
0,0.013213434671526247,0.599316212515915,7.7978159616316916,1.1186363012618654,0.882428398013595,6.106479239312265,5.433010540840388
1,0.020202622497829566,0.6261941268744974,5.892595769631232,0.7992154503820498,0.5581194235098679,4.433100381378468,8.362455213883848
2,0.020517967039070516,0.6967498990288706,9.39022304537088,1.0338861238163082,0.6995910994714283,6.43437060274618,11.865729297583213
3,0.015940060045535692,1.1231445728144607,7.112947906761916,1.0921971049665546,0.8270608719466989,3.5156753893123818,10.279979464948088
4,0.005446814343501573,0.41699065009776615,7.635550353105739,0.9735559362895156,0.8460319105793344,5.395774888705553,8.624049479706741
5,0.026019801821457876,1.2030401685233783,5.514329210736853,0.6470642308820387,0.6325822902543837,2.825080308857414,11.881951779028233
6,0.017320781887866926,1.2913872901805348,6.126348823089655,0.9058100160995568,0.6831766725567219,6.953201992401317,14.8161402395727
7,0.023590794626073094,1.2763408739296251,3.6901909015340846,0.8167508609761973,0.6768799773235038,3.282081557522744,9.4514556455914
8,0.027624635347690475,0.45330828007374724,7.355160473820824,0.7080226117719426,0.5543188126169729,3.332087089567179,5.354834988100087
9,0.024593958290239273,0.8837562184661787,3.1017423910889157,0.6007537876131687,0.7354917073668172,2.3109526060200833,4.958066825804755
10,0.018351676558340867,1.4981716678123191,6.7626655116037675,0.7914559814616507,0.8060858907659304,4.57820309894443,12.856129471532618
11,0.005605500192052243,0.55528306938445,8.141936082758999,0.7702939614445963,0.8595888735096532,2.7008557921948166,6.079569985032233
12,0.028586993353340397,0.7150646536135177,6.557301788515759,1.1732329427878514,0.7232717473840763,4.346280626903253,13.572962548537262
13,0.010414091452097478,1.1829987321682003,5.738696312738046,0.6399992413052826,0.6452191922704995,5.084778418202578,11.419720407230662
14,0.026778438088846244,0.7579071345175168,4.265538842938637,0.5532927724937546,0.7815487425798449,7.569394799645595,2.7495374464774462
15,0.025939452532884422,1.2252012427567829,3.8438994944033027,1.0602872006053365,0.6116999431440444,7.50217132994173,13.258384441432963
16,0.027214599093378335,1.3766768496288875,4.67205685974046,0.5248079318280945,0.7634514547864034,4.975766299526122,10.390887437955875
17,0.025251676167735625,0.514167375432864,5.120987250565419,1.1357195510980014,0.5744413351231262,5.332990268328135,14.236032234916578
18,0.01239184335311318,1.255150329135347,8.651840332528295,1.0275597986583895,0.7895362467043854,3.7870204459977765,3.0865380693379985
19,0.0296957655667028,1.0243584857112005,2.777065570182101,0.9976951559095741,0.7117137334704273,7.1737140018221055,4.25850374136818
20,0.02260682516216426,0.5234621406225719,4.176997715144748,0.951590125155415,0.6027016250532518,5.558000924582927,4.763396362830845
21,0.01754546898370022,1.4412272172419849,5.324223090679063,0.9254400571739259,0.8164595682721034,3.846749629113299,10.893720402374663
22,0.0240667436946007,0.9988143563040073,3.2669485105963254,0.6172926875558913,0.6914645058981161,7.685612331555645,12.203280891679233
23,0.019164089643024823,0.7940922154919817,6.813928643277755,0.6625347618856824,0.6498169794113514,6.525343754413592,2.4114117802793364
24,0.015111478652088107,0.9275323938642359,2.9257802471439738,0.7240759755088557,0.8010003641582718,2.505307647023696,12.546311556431334
25,0.010750150012171632,0.47675397903113914,7.533499980359839,0.7380626802676046,0.8765500513875537,7.388737290640902,3.5891308104757633
26,0.023342021283358636,0.8280493012509318,3.936810946728028,0.985992672184956,0.727595847578326,2.0077750998325934,4.597896143938277
27,0.008216485401488383,1.3847373281106097,5.02587323275295,0.7588980676730019,0.7774202744608258,4.170321134373168,12.928008378016369
28,0.012955293481640078,0.6595230467924422,9.76576165431458,0.8710087459021497,0.5836100420998682,5.989033566835472,14.678067176724124
29,0.02211077147189838,0.9672146038131282,8.25889319283757,0.848257285525918,0.7484714489262532,2.1832822671968732,7.415474233006094
30,0.011394434816920193,0.7411136674450085,9.899118565682624,1.078213215863164,0.5654255434899278,5.613130253093875,9.54362086947308
31,0.018544679399523586,0.3733827549251155,7.18732447193662,0.8578144548563206,0.8861514899948125,3.174643574577211,8.977554831140406
32,0.028177225736791826,0.34805572923824196,6.3745905097002,0.8799410578783745,0.6646380609339804,7.82041307554148,9.265670522633553
33,0.006292064641766432,1.465018446037677,6.317534694949539,0.6847950082931131,0.5959928385634274,6.707809967640994,6.507445310507315
34,0.013703342246705334,1.34889098883289,9.521571227006497,1.1701526463713194,0.5876356711420104,4.849609853926813,6.820009541761648
35,0.019816738154642622,0.6663824676241408,4.511999590959271,0.5007639258151515,0.8564218042315184,2.4775435823364305,10.822765565237791
36,0.01609753787971355,1.1128209115115515,9.194306898262905,0.5907010833295616,0.7566148945333184,5.137135572616194,6.295126543294991
37,0.02169230659449396,0.5750350964772772,8.014382117270356,1.0566766506418248,0.8414099225177735,6.603674544454852,3.9248205859728955
38,0.008917757994322657,1.4251284744479757,8.723029962425272,0.9083142105835024,0.6741402936679042,7.100807184552468,7.979560411915081
39,0.006910888036866935,0.4410832309869172,9.351039214983626,1.1990190258271158,0.8336539152670532,4.733420111407398,14.216515746133366
40,0.007612786600491724,0.9850566179221814,3.5280175445016857,0.579058819515482,0.8942672241456441,6.900194575934737,7.074881979564566
41,0.021027748764969153,0.9003487429927008,3.416705271374088,1.1579671795848818,0.7678211208432243,7.88456512537317,8.084085363141982
42,0.009665605437544939,0.30851689865144255,8.468630252243068,1.0065698569647417,0.6386523782550814,2.9639612167403273,9.821174606358529
43,0.007424594755627011,0.3347029047376746,2.538892429821601,0.7194517261270617,0.7415630455709057,5.897933912451465,2.1554866352147575
44,0.014613738073838995,1.1605686190835893,2.238608976461289,0.8323336866695423,0.8698779588949132,3.9644028354619785,2.9672636274017727
45,0.014186534275574553,1.0460691660875934,8.925549820010371,0.9444113415729336,0.6552044535959796,6.292618520175828,3.3904745456069536
46,0.009460545389415431,0.864579675972585,4.87160622677753,0.5588582554008038,0.6229402216142204,4.143283266517406,11.35545059601462
47,0.01689468103812923,0.8230052373627434,2.0343145680367605,1.1114339145547967,0.6198114616643733,5.775695975365874,5.869163014786971
48,0.01175966725883753,1.3119349195153485,2.434918355304216,0.6696948440724797,0.8143575180130518,2.8783841208100625,13.826921587800138
49,0.029255818799368095,1.08508562802846,5.581834207143197,0.5396343821905896,0.7080635878306042,3.6182191212601866,7.592200754971555
