draw_idx,gof_rmse,n_terms
404,0.20665647347092936,46
265,0.21222873580967264,46
149,0.21303673664799194,46
473,0.21327735853847946,46
419,0.2181546304249412,46
299,0.2195321757951799,46
6,0.22094825417609099,46
323,0.22377219074482235,46
197,0.22435186463858448,46
141,0.22552087823579897,46
63,0.2281291311914587,46
307,0.22999545046326209,46
267,0.23135110370501574,46
11,0.2325453667943312,46
117,0.2328788240626566,46
146,0.23302033926450652,46
75,0.24043846150873052,46
311,0.24227742437287028,46
313,0.24289747299188227,46
456,0.24312156284008032,46
411,0.24423954384582003,46
94,0.24622437445963244,46
198,0.2473633928216682,46
420,0.24827928764246357,46
317,0.2491057870648351,46
476,0.2498393012353957,46
350,0.25114743682104923,46
119,0.25313382193901474,46
115,0.2533731415857422,46
394,0.25421381287559686,46
8,0.2550319678666798,46
297,0.25838088331813414,46
355,0.2588009969536252,46
468,0.25881223007779547,46
346,0.25901201844104677,46
147,0.25957309082182956,46
120,0.2597317970369268,46
54,0.2599961478427901,46
112,0.260393055366236,46
383,0.2613134972169331,46
365,0.26146849543700046,46
461,0.26149593121775166,46
174,0.26192886308442825,46
275,0.2631930797505831,46
352,0.2632565859000696,46
19,0.2639455553242773,46
16,0.2652746967984517,46
40,0.2657480672693594,46
270,0.2658294642492273,46
158,0.2659398332917793,46
165,0.26661076770952585,46
182,0.26814833033395175,46
390,0.26901451727213116,46
377,0.2699180796428726,46
328,0.2700821850541324,46
340,0.27037407405461944,46
164,0.2704264934498448,46
67,0.27043585920360624,46
160,0.27088066411050343,46
14,0.2711650891913171,46
482,0.2721357190765266,46
123,0.2730212270132386,46
396,0.27339571893937875,46
417,0.27356419000439275,46
56,0.2735664125552741,46
395,0.27359651091533377,46
168,0.27394089595023735,46
162,0.2739591492228492,46
438,0.27438672506264317,46
491,0.27586721829136224,46
448,0.27588605244096626,46
485,0.27654034853366505,46
218,0.2766266741481814,46
49,0.276752854646284,46
498,0.27680684798109384,46
201,0.2769931854115087,46
443,0.2771899817497967,46
24,0.2780978157696221,46
250,0.2788579688855723,46
412,0.28052972684974053,46
349,0.28070130415435746,46
97,0.2809253820579439,46
425,0.2809786974280221,46
30,0.28111714557529593,46
22,0.28128248857102883,46
371,0.28170598875361413,46
309,0.2823608492391851,46
167,0.282526093982604,46
487,0.28379550431271944,46
211,0.28437917798576146,46
26,0.28531311001209697,46
48,0.28536032747310625,46
23,0.28550650025077445,46
432,0.28592113719875145,46
161,0.2865728049945959,46
217,0.28755457221869507,46
263,0.2876622471471456,46
373,0.2881368326971603,46
4,0.28833382531665114,46
90,0.28902986642939527,46
185,0.2891606307477471,46
271,0.2906061385504129,46
229,0.2906830679111137,46
490,0.2908466231803311,46
140,0.291578491126958,46
494,0.29201523925612194,46
296,0.29201812594332566,46
392,0.2942357264980574,46
414,0.29424271711848504,46
233,0.29473498079421967,46
415,0.29606138593260584,46
304,0.29652719592687243,46
402,0.29672424377423506,46
433,0.29824730696882834,46
401,0.29847138955464864,46
478,0.2989379076367294,46
151,0.30087053961088167,46
199,0.3009348297779503,46
333,0.3013991167574861,46
454,0.3028131535305924,46
251,0.3028194180077267,46
230,0.3035369785253492,46
447,0.30362236382910085,46
215,0.3041289033004081,46
28,0.3041359483750902,46
439,0.3042762838767279,46
172,0.305475685169764,46
376,0.3059181147107049,46
134,0.3061530105248322,46
252,0.3063833106575116,46
379,0.3080587309957548,46
380,0.3088603951770735,46
52,0.3093728660467006,46
206,0.3093982068839689,46
286,0.3106701562591209,46
273,0.3122109318914938,46
103,0.31353810753936645,46
285,0.314098770454502,46
227,0.31469434829384785,46
451,0.3150452538360076,46
29,0.315484675973607,46
426,0.31593836419350735,46
169,0.3165838670506085,46
413,0.3171505982935388,46
344,0.3184719289243218,46
129,0.3189345998212653,46
427,0.31896270287498174,46
130,0.31901764428005364,46
495,0.3192956904248624,46
406,0.3193683611466763,46
69,0.3221591842947586,46
216,0.32221066410268195,46
389,0.322982878947079,46
281,0.32483034627834023,46
467,0.3251496672325729,46
237,0.325190389412559,46
106,0.325366272693768,46
325,0.3254552562905467,46
135,0.3255296787913284,46
366,0.32569809262546034,46
148,0.32611478189615706,46
381,0.3268787885041998,46
471,0.3276923219800882,46
361,0.32780093923592346,46
27,0.331128865546573,46
245,0.3322427486691793,46
391,0.33277534093618216,46
329,0.33308795107502526,46
190,0.33411170990157313,46
126,0.33471388463884005,46
234,0.33520326270984585,46
387,0.3355932484963138,46
484,0.33577519567176023,46
17,0.33599682263189823,46
196,0.33600242964182064,46
416,0.3373118525163197,46
308,0.33955809386190305,46
207,0.33975958558980074,46
334,0.3411737078643518,46
479,0.3414626186995566,46
178,0.3446909071804079,46
452,0.3455714868267662,46
176,0.346158467527654,46
50,0.3471606205136104,46
287,0.3472934690000104,46
159,0.3476718195644873,46
410,0.34801596743179153,46
180,0.3488616557188489,46
163,0.350148411490086,46
363,0.35085252576424747,46
430,0.35098769057042056,46
76,0.3517305086607276,46
72,0.3532615272632302,46
55,0.354743856661776,46
96,0.3548337512131544,46
220,0.35517118447360135,46
191,0.3556728182541683,46
372,0.3559584027458241,46
51,0.35645076105359164,46
301,0.3571666890573145,46
360,0.357429488159638,46
418,0.3579294030727548,46
80,0.35860171945457925,46
400,0.3587529059414396,46
351,0.360815112793228,46
254,0.36159584717161547,46
34,0.36197018795201874,46
475,0.36245380585920817,46
232,0.3630206537746981,46
209,0.3637481944785938,46
255,0.3649188641098065,46
249,0.3684554426102812,46
248,0.3687006477603492,46
493,0.36875633492744087,46
68,0.37019531516407034,46
10,0.3709961331708374,46
44,0.37164356570452156,46
150,0.3722902603139276,46
38,0.37335310174458153,46
187,0.3735001619818204,46
269,0.3735275032098677,46
213,0.374124341081821,46
89,0.37483357871893386,46
444,0.3751972095937726,46
386,0.37625849306928527,46
3,0.37701212755958136,46
434,0.37828724707525613,46
481,0.37830381537044905,46
428,0.37910099498281014,46
186,0.3792526280499027,46
210,0.3792601817442817,46
193,0.3793307249396979,46
327,0.3803556533959303,46
341,0.381130517793812,46
100,0.3811879212478672,46
228,0.38137644581514235,46
153,0.3820335953826509,46
258,0.38242507181472735,46
261,0.3826976367074277,46
88,0.3827061440518327,46
128,0.3829796997050834,46
219,0.38346997290468265,46
0,0.384452188026115,46
455,0.38681625339187586,46
127,0.3877628721408835,46
320,0.3881495889325588,46
316,0.38892007175733834,46
276,0.3889764186846879,46
488,0.3898822813309384,46
57,0.38993887057759324,46
225,0.3921611883029689,46
398,0.3922696605114997,46
403,0.3922740488587132,46
87,0.39277803216489554,45
61,0.39291178852066866,46
277,0.39400263293248433,46
458,0.39533131886620976,46
64,0.39787491481571047,46
324,0.3979364797202886,46
388,0.39801766269103556,46
422,0.3989708236478104,46
36,0.39953809981693406,46
114,0.4004036498944959,46
457,0.4005661959971723,46
25,0.40081695390313643,46
262,0.40107895668999305,46
367,0.40182268916241776,46
463,0.4024311875787533,46
59,0.4028725874958319,46
319,0.40393681243098034,46
84,0.4044131935468599,46
82,0.4059755994217154,46
142,0.4062731126266249,46
294,0.40681486461175365,46
154,0.4072007606248525,46
289,0.40729898217436605,46
12,0.4073330567181628,46
336,0.4093479063805194,46
65,0.412012553320565,46
5,0.4121287759488929,46
326,0.41305174263264893,46
474,0.4131453503119057,46
101,0.4145743140069668,46
332,0.41531841642020273,46
492,0.41551056219627475,46
283,0.41551656345039945,46
240,0.41559165278914767,46
18,0.4157910965621085,46
310,0.41649627487705304,46
60,0.41676016941147737,46
145,0.4173522088330571,46
497,0.41775716474607455,46
282,0.4177688798552487,46
322,0.41884242395521326,46
449,0.41889911675483354,46
393,0.41909576984662905,46
437,0.41918608374501287,46
85,0.4196173582311016,46
384,0.41999693920118547,46
399,0.42086144723629276,46
496,0.42146251363180265,46
238,0.42183713871550793,46
15,0.42214848452077797,46
445,0.4227409538007709,46
369,0.42304863099254586,46
102,0.42325677772567677,46
124,0.4247122089849275,46
368,0.4256296111178557,46
442,0.4256625589868248,46
105,0.4262665762165219,46
166,0.426686091090017,46
181,0.4279519452441697,46
92,0.42907796255365394,46
37,0.4292401948879961,46
42,0.4296571799310499,46
302,0.4296908145219111,46
312,0.4311556853512997,46
86,0.431310646090138,46
374,0.43172302330815543,46
357,0.4317314638589044,46
469,0.43224393573706055,46
253,0.43244644994234427,46
226,0.4326324048455044,46
131,0.4328826708282765,46
121,0.43321443249360336,46
244,0.43323670372724493,46
113,0.4371505228289461,46
486,0.4372943206555993,46
266,0.4380867479434766,46
224,0.4391052409087214,46
33,0.43966174228199695,46
32,0.4397546595445724,46
208,0.44032758812739076,46
9,0.4413904074379523,46
499,0.44230237533135486,46
446,0.4423437783354299,46
157,0.44292895643102986,46
221,0.4441665428355929,46
292,0.444854654790749,46
288,0.44550429877838166,46
152,0.4457101981368116,46
110,0.4465422503308621,46
330,0.44724007680704764,46
405,0.44754673307946496,46
122,0.447811533406484,46
321,0.4508757818338617,46
264,0.45306939978596145,45
62,0.4544131092137597,46
272,0.45523695291000116,46
424,0.45622590740922575,46
259,0.45747396803152657,46
435,0.45773643973970585,46
